case,initial_mode,transform_mode,noise_probability,ticks,seed,tv_to_binomial,plane_0,plane_1,plane_2,plane_3,plane_4,plane_5,plane_6,plane_7,plane_8,plane_9
0,uniform,none,0.0,300,20260624,0.007145833333333327,0.00225,0.01525,0.06891666666666667,0.16608333333333333,0.24758333333333332,0.24358333333333335,0.16625,0.07091666666666667,0.016666666666666666,0.0025
1,uniform,ash,0.02,300,20260625,0.008703124999999997,0.002,0.019,0.07033333333333333,0.15725,0.24975,0.24716666666666667,0.1625,0.07233333333333333,0.01725,0.002416666666666667
2,uniform,none,0.02,300,20260626,0.011864583333333343,0.0023333333333333335,0.016166666666666666,0.06641666666666667,0.16258333333333333,0.255,0.248,0.16316666666666665,0.06666666666666667,0.01825,0.0014166666666666668
3,zero,ash,0.0,300,20260627,0.734375,0.06691666666666667,0.0,0.0,0.0,0.87125,0.0,0.0,0.0,0.06183333333333333,0.0
4,zero,ash,0.02,300,20260628,0.030213541666666656,0.00225,0.019416666666666665,0.08116666666666666,0.17291666666666666,0.25416666666666665,0.24325,0.14758333333333334,0.063,0.014,0.00225
5,zero,none,0.02,300,20260629,0.2996770833333333,0.018583333333333334,0.08225,0.19525,0.2575,0.23825,0.138,0.055,0.0135,0.0015,0.00016666666666666666
6,zero,random_weight4,0.02,300,20260630,0.012510416666666663,0.0016666666666666668,0.01725,0.0675,0.16283333333333333,0.24366666666666667,0.24066666666666667,0.17108333333333334,0.07425,0.018916666666666665,0.0021666666666666666
