index,bits,hamming_weight,integrity_valid,coset_id,coset_representative,nearest_code_distance,nearest_codeword_count,decoder_status
436,110110100,5,0,28,000101100,1,1,corrected
437,110110101,6,1,29,000101101,2,4,uncorrectable
438,110110110,6,1,30,000101110,2,1,uncorrectable
439,110110111,7,0,31,000101111,3,4,uncorrectable
440,110111000,5,0,16,000100000,1,1,corrected
441,110111001,6,1,17,000100001,2,4,uncorrectable
442,110111010,6,1,18,000100010,2,1,uncorrectable
443,110111011,7,0,19,000100011,3,4,uncorrectable
444,110111100,6,1,20,000100100,2,4,uncorrectable
445,110111101,7,0,21,000100101,1,1,corrected
446,110111110,7,0,22,000100110,3,4,uncorrectable
447,110111111,8,1,23,000100111,2,1,uncorrectable
448,111000000,3,0,16,000100000,1,1,corrected
449,111000001,4,1,17,000100001,2,4,uncorrectable
450,111000010,4,1,18,000100010,2,1,uncorrectable
451,111000011,5,0,19,000100011,3,4,uncorrectable
452,111000100,4,1,20,000100100,2,4,uncorrectable
453,111000101,5,0,21,000100101,1,1,corrected
454,111000110,5,0,22,000100110,3,4,uncorrectable
455,111000111,6,1,23,000100111,2,1,uncorrectable
456,111001000,4,1,24,000101000,2,4,uncorrectable
457,111001001,5,0,25,000101001,1,1,corrected
458,111001010,5,0,26,000101010,3,4,uncorrectable
459,111001011,6,1,27,000101011,2,1,uncorrectable
460,111001100,5,0,28,000101100,1,1,corrected
461,111001101,6,1,29,000101101,2,4,uncorrectable
462,111001110,6,1,30,000101110,2,1,uncorrectable
463,111001111,7,0,31,000101111,3,4,uncorrectable
464,111010000,4,1,29,000101101,2,4,uncorrectable
465,111010001,5,0,28,000101100,1,1,corrected
466,111010010,5,0,31,000101111,3,4,uncorrectable
467,111010011,6,1,30,000101110,2,1,uncorrectable
468,111010100,5,0,25,000101001,1,1,corrected
469,111010101,6,1,24,000101000,2,4,uncorrectable
470,111010110,6,1,27,000101011,2,1,uncorrectable
471,111010111,7,0,26,000101010,3,4,uncorrectable
472,111011000,5,0,21,000100101,1,1,corrected
473,111011001,6,1,20,000100100,2,4,uncorrectable
474,111011010,6,1,23,000100111,2,1,uncorrectable
475,111011011,7,0,22,000100110,3,4,uncorrectable
476,111011100,6,1,17,000100001,2,4,uncorrectable
477,111011101,7,0,16,000100000,1,1,corrected
478,111011110,7,0,19,000100011,3,4,uncorrectable
479,111011111,8,1,18,000100010,2,1,uncorrectable
480,111100000,4,1,0,000000000,0,1,exact
481,111100001,5,0,1,000000001,1,1,corrected
482,111100010,5,0,2,000000010,1,1,corrected
