observable,coarse_length_m,energy_density_J_m3,mass_density_kg_m3,memory_length_m,temperature_proxy_K
coarse_length_m,4.778193055313288e-05,5.549449632362873e-05,6.174595444515284e-22,0.0001240638858419945,4.046560842085582e-05
energy_density_J_m3,5.549449632362873e-05,0.0001655409682804674,1.8418916763643227e-21,8.999660767946579e-05,4.7018049341494936e-05
mass_density_kg_m3,6.174595444515284e-22,1.8418916763643227e-21,2.0493808769514568e-38,1.001347305791931e-21,5.231463523534614e-22
memory_length_m,0.0001240638858419945,8.999660767946579e-05,1.001347305791931e-21,0.0015429120783528112,0.00010487514786372337
temperature_proxy_K,4.046560842085582e-05,4.7018049341494936e-05,5.231463523534614e-22,0.00010487514786372337,3.4274103170579106e-05
