depth,leaf_count,pair_count,diagonal_trace,max_offdiag_magnitude,mean_offdiag_magnitude,suppressed_pair_fraction,threshold,passed_trace_invariant
1,5,10,1.0,0.07058017722416228,0.021996070646088054,0.0,0.001,True
2,25,300,0.9999999999999999,0.019782499113235433,0.0013574742515845796,0.7533333333333333,0.001,True
3,125,7750,0.9999999999999999,0.004265345466373215,4.174093766051407e-05,0.9953548387096774,0.001,True
4,625,195000,0.9999999999999999,0.0015691081499510482,1.5606249361686557e-06,0.9999589743589744,0.001,True
