memory_hash,memory_length,memory_record,measure,leaf_count
db5dc1b651e1f0e0,3,t1:q4:r1|t3:q4:r2|t4:q3:r2,0.00298298968289941,3
c13a042a0c64d1ac,2,t2:q4:r1|t4:q4:r2,0.0029214128001414093,6
f04785dd5f9798e8,3,t2:q4:r1|t3:q2:r0|t4:q2:r1,0.0029191834758579465,3
e0867ed0fd2d7a7f,3,t2:q2:r2|t3:q2:r0|t4:q4:r0,0.0029191834758579456,3
3625037e0a7f100f,3,t1:q4:r1|t2:q2:r0|t4:q2:r1,0.0028040962853930883,2
ec3d9705168e805a,3,t2:q4:r1|t3:q1:r2|t4:q3:r2,0.002734718128239798,3
927e7d83786f3091,3,t1:q2:r2|t2:q4:r2|t3:q1:r0,0.0025871577369538288,2
acc6876f6bca9342,3,t2:q4:r1|t3:q2:r0|t4:q3:r2,0.002564414710271681,3
98c948d11b160676,3,t1:q4:r1|t3:q1:r2|t4:q4:r0,0.002551797016154489,3
d6a0ddb20c5f4e50,3,t1:q4:r1|t2:q2:r0|t3:q4:r0,0.0024890185714602216,2
4ea6fc2aa1f5bc29,3,t1:q4:r1|t2:q2:r0|t4:q3:r2,0.0024633140817456917,2
b794280d30cef0b2,3,t1:q2:r2|t2:q4:r2|t3:q2:r1,0.0024260435801140203,2
46a48c333bb06878,3,t1:q2:r2|t3:q4:r2|t4:q4:r0,0.002392884933287774,3
555891ceb96c31ac,3,t1:q4:r1|t3:q2:r0|t4:q4:r0,0.002392884933287774,3
d1b85f05a6dc5de3,3,t2:q4:r1|t3:q4:r2|t4:q2:r1,0.002110512177658551,3
bb544d00a5a11043,3,t2:q2:r2|t3:q4:r2|t4:q4:r0,0.0021105121776585508,3
34998040f2094880,4,t1:q2:r2|t2:q2:r0|t3:q1:r0|t4:q2:r2,0.0021056327546324425,1
27cb685ceaddc9e3,3,t1:q2:r2|t2:q4:r2|t4:q2:r1,0.0019760132547409956,2
6f61667ea22ff5b6,3,t1:q2:r2|t2:q2:r0|t4:q4:r0,0.001976013254740995,2
395dab27240218bc,4,t1:q2:r2|t2:q2:r0|t3:q2:r1|t4:q2:r2,0.0019745053629658155,1
4cc1340de1d50a75,3,t1:q4:r1|t2:q4:r2|t3:q1:r0,0.0018704641056382508,2
c01ca0a969eb4659,3,t2:q4:r1|t3:q4:r2|t4:q3:r2,0.0018540213451312638,3
c180e39bef4033eb,4,t1:q2:r2|t2:q2:r0|t3:q1:r0|t4:q3:r0,0.001849734919050384,1
a6e3822556756ac6,3,t1:q2:r2|t2:q4:r2|t3:q4:r0,0.0017539817423967046,2
48b0a0be2a80ba6f,3,t1:q4:r1|t2:q4:r2|t3:q2:r1,0.0017539817423967044,2
cbbe4d5c00eb0232,3,t1:q2:r2|t2:q4:r2|t4:q3:r2,0.001735868094642578,2
b2ff659f34e5396f,4,t1:q2:r2|t2:q2:r0|t3:q2:r1|t4:q3:r0,0.0017345434571602997,1
