branch_id,parent_id,shell_q,score,local_probability,measure,amplitude_real,amplitude_imag,amplitude_norm_squared
root.q0.q0.q0,root.q0.q0,0,1.06,0.1372061513420035,0.00795726403512525,0.08904297975406872,0.005348999125234517,0.007957264035125252
root.q0.q0.q1,root.q0.q0,1,0.2380910698150733,0.312121794719303,0.01810148821613605,0.13408446933910512,0.011083469591541545,0.018101488216136045
root.q0.q0.q2,root.q0.q0,2,0.6595815704905393,0.2047731904622643,0.011875811163609272,0.10843540409454672,0.010843168469669415,0.011875811163609272
root.q0.q0.q3,root.q0.q0,3,1.0741166179844381,0.1352828715603552,0.00784572351827301,0.08802809438445013,0.009837586966088349,0.00784572351827301
root.q0.q0.q4,root.q0.q0,4,0.6314480172999358,0.210615991916074,0.012214664148100386,0.10976233517027971,0.012918743207741433,0.012214664148100388
root.q0.q1.q0,root.q0.q1,0,0.36,0.260317378312205,0.009839561824451453,0.09901606883931739,0.005948103568282354,0.009839561824451453
root.q0.q1.q1,root.q0.q1,1,0.5880910698150733,0.20722610722848347,0.00783280051042013,0.08820229175366653,0.007290832587655472,0.00783280051042013
root.q0.q1.q2,root.q0.q1,2,1.0095815704905393,0.13595446342481105,0.0051388514929425,0.07133004437811177,0.007132759771582377,0.005138851492942499
root.q0.q1.q3,root.q0.q1,3,0.3741166179844383,0.25666839358650123,0.009701636300470568,0.09788751316991234,0.010939427127633449,0.009701636300470565
root.q0.q1.q4,root.q0.q1,4,0.9814480172999359,0.13983365744799922,0.0052854785436130276,0.07220291475941457,0.008498096484374783,0.005285478543613029
root.q0.q2.q0,root.q0.q2,0,0.71,0.20782894051865278,0.01798853205772358,0.1338799873598845,0.00804245250161575,0.017988532057723577
root.q0.q2.q1,root.q0.q2,1,0.9380910698150733,0.1654425939302771,0.014319802608822088,0.11925863997142232,0.009857961299820452,0.014319802608822086
root.q0.q2.q2,root.q0.q2,2,0.3095815704905394,0.31017410519967176,0.02684696761161255,0.16303733960428848,0.01630317473280769,0.02684696761161255
root.q0.q2.q3,root.q0.q2,3,0.7241166179844383,0.20491570962170425,0.017736378785659885,0.13235406312833314,0.0147912392679277,0.01773637878565988
root.q0.q2.q4,root.q0.q2,4,1.3314480172999357,0.11163865072969413,0.009662828682667853,0.09762582405714383,0.011490307212231054,0.009662828682667851
root.q0.q3.q0,root.q0.q3,0,1.06,0.1372061513420035,0.006423535124557294,0.08000273829353724,0.004805932801557472,0.006423535124557296
root.q0.q3.q1,root.q0.q3,1,0.2380910698150733,0.312121794719303,0.014612503097778591,0.12047131328479697,0.009958201304196126,0.014612503097778593
root.q0.q3.q2,root.q0.q3,2,0.6595815704905393,0.2047731904622643,0.009586798905417124,0.09742631344425079,0.009742297166465368,0.009586798905417122
root.q0.q3.q3,root.q0.q3,3,1.0741166179844381,0.1352828715603552,0.006333493569489007,0.07909089090424515,0.008838809052230943,0.006333493569489007
root.q0.q3.q4,root.q0.q3,4,0.6314480172999358,0.210615991916074,0.0098603394136033,0.0986185255633716,0.01160714561422933,0.0098603394136033
root.q0.q4.q0,root.q0.q4,0,0.36,0.260317378312205,0.008109646123208143,0.0898915258187556,0.005399973072538027,0.008109646123208141
root.q0.q4.q1,root.q0.q4,1,0.5880910698150733,0.20722610722848347,0.00645569807136535,0.08007426147481851,0.006618966734147055,0.006455698071365349
root.q0.q4.q2,root.q0.q4,2,1.0095815704905393,0.13595446342481105,0.0042353783462107395,0.06475682786673055,0.006475460666961769,0.0042353783462107395
root.q0.q4.q3,root.q0.q4,3,0.3741166179844383,0.25666839358650123,0.007995969598704432,0.0888669689737565,0.00993133546517435,0.00799596959870443
root.q0.q4.q4,root.q0.q4,4,0.9814480172999359,0.13983365744799922,0.004356226562243366,0.06554926137108061,0.00771497867457367,0.004356226562243368
root.q1.q0.q0,root.q1.q0,0,0.36,0.260317378312205,0.008054772814562024,0.08958688750230179,0.0053816728079610215,0.008054772814562022
root.q1.q0.q1,root.q1.q0,1,0.5880910698150733,0.20722610722848347,0.006412016077426995,0.07980289342332769,0.006596535355169019,0.006412016077426992
root.q1.q0.q2,root.q1.q0,2,1.0095815704905393,0.13595446342481105,0.004206719978176701,0.06453736990514264,0.006453515623556637,0.0042067199781767
root.q1.q0.q3,root.q1.q0,3,0.3741166179844383,0.25666839358650123,0.007941865473684842,0.08856580283412391,0.009897678618339324,0.00794186547368484
root.q1.q0.q4,root.q1.q0,4,0.9814480172999359,0.13983365744799922,0.00432675048387315,0.06532711788817723,0.007688832960686935,0.0043267504838731515
root.q1.q1.q0,root.q1.q1,0,0.71,0.20782894051865278,0.011976992403782331,0.10924251437470117,0.006562427666309035,0.01197699240378233
root.q1.q1.q1,root.q1.q1,1,0.9380910698150733,0.1654425939302771,0.009534305885503623,0.09731188318956421,0.008043834633073515,0.009534305885503623
root.q1.q1.q2,root.q1.q1,2,0.3095815704905394,0.31017410519967176,0.017875050955634502,0.13303413950479093,0.01330295763559105,0.017875050955634502
root.q1.q1.q3,root.q1.q1,3,0.7241166179844383,0.20491570962170425,0.011809105562632385,0.107997400724131,0.012069258447139655,0.011809105562632382
root.q1.q1.q4,root.q1.q1,4,1.3314480172999357,0.11163865072969413,0.006433633681725141,0.07966007988360616,0.009375785549095425,0.006433633681725141
root.q1.q2.q0,root.q1.q2,0,1.06,0.1372061513420035,0.0063361176206546245,0.07945649725549946,0.0047731189532035515,0.006336117620654624
root.q1.q2.q1,root.q1.q2,1,0.2380910698150733,0.312121794719303,0.014413642420315434,0.11964876174936062,0.009890208903768094,0.014413642420315434
root.q1.q2.q2,root.q1.q2,2,0.6595815704905393,0.2047731904622643,0.009456332734612745,0.09676110808099538,0.009675778911833173,0.009456332734612745
root.q1.q2.q3,root.q1.q2,3,1.0741166179844381,0.1352828715603552,0.00624730143570403,0.07855087575890908,0.008778459615015513,0.006247301435704029
root.q1.q2.q4,root.q1.q2,4,0.6314480172999358,0.210615991916074,0.009726150646443764,0.09794518003892419,0.011527894586024406,0.009726150646443764
root.q1.q3.q0,root.q1.q3,0,0.36,0.260317378312205,0.006502249500114016,0.08049142487341025,0.004835289232524566,0.006502249500114015
