z,a,E_ash,E_matched_LCDM,Delta_H_over_H_matched_LCDM,w_ash,rho_DE_factor_ash
0.0,1.0,1.0,1.0,0.0,-0.7928088139285001,1.0
0.005,0.9950248756218907,1.0034144832152285,1.0023626413136033,0.00104936263411291,-0.7968370938925747,1.003074642478696
0.01,0.9900990099009901,1.0068184922421004,1.004743269525656,0.0020654258449764678,-0.8007965524011665,1.0060835847938852
0.015,0.9852216748768474,1.0102126281884145,1.0071418739344598,0.003048978831511265,-0.8046886263729021,1.009027942108295
0.02,0.9803921568627451,1.0135974790241562,1.0095584429793882,0.00400079467697585,-0.8085147164414084,1.0119088154460316
0.025,0.9756097560975611,1.0169736198204773,1.0119929642531167,0.004921630627181768,-0.8122761880355833,1.0147272915868315
0.03,0.970873786407767,1.0203416129860778,1.014445424513905,0.005812228366053478,-0.8159743724227831,1.017484442981847
0.035,0.9661835748792271,1.0237020085008761,1.016915809697921,0.006673314288398207,-0.8196105677163618,1.0201813276895733
0.04,0.9615384615384615,1.0270553441468775,1.019404104931605,0.007505599769765396,-0.8231860398489478,1.0228189893306214
0.045,0.9569377990430623,1.0304021457361587,1.0219102945440621,0.00830978143329631,-0.8267020235127759,1.0253984570600914
0.05,0.9523809523809523,1.0337429273359022,1.0244343620794878,0.00908654141346751,-0.8301597230683376,1.027920745556377
0.055,0.9478672985781991,1.0370781914904126,1.0269762903096071,0.00983654761665431,-0.8335603134225585,1.0303868550252862
0.06,0.9433962264150942,1.0404084294400755,1.0295360612461373,0.010560453978443888,-0.8369049408776614,1.032797771218426
0.065,0.9389671361502347,1.0437341213372087,1.032113656153256,0.011258900717642632,-0.8401947239518229,1.0351544654648563
0.07,0.9345794392523364,1.0470557364587794,1.0347090555600773,0.011932514586932773,-0.8434307541726863,1.0374578947150688
0.075,0.9302325581395349,1.0503737334159555,1.0373222392731296,0.012581909120131591,-0.8466140968447449,1.039709001596396
0.08,0.9259259259259258,1.0536885603604804,1.039953186388825,0.013207684876038253,-0.849745791791574,1.0419087144790131
0.085,0.9216589861751152,1.0570006551878486,1.042601875305924,0.01381042967882593,-0.8528268540738432,1.0440579475517322
0.09,0.9174311926605504,1.0603104457372863,1.0452682837379834,0.014390718854981988,-0.8558582746840045,1.0461576009068334
0.095,0.9132420091324202,1.0636183499885263,1.0479523887257864,0.014949115466770638,-0.8588410212185139,1.0482085606332294
