fit,model,chi2,ndata,nparams,dof,AIC,BIC,H0,Omega_m,param_2,param_3,parameter_labels,bao_chi2_at_fit,w0,wa,p1,p2,w0_eff,wa_eff
DESI_DR2_BAO_only,lcdm,10.538630544705521,13,2,11,14.538630544705521,15.668529259628595,69.03921812563499,0.297345136978575,,,"H0,Omega_m",10.538630544705521,,,,,,
DESI_DR2_BAO_plus_Planck_H0_Om,lcdm,16.201454694338047,15,2,13,20.201454694338047,21.617555096542468,68.13828985022172,0.3127864619805871,,,"H0,Omega_m",13.92117217311955,,,,,,
DESI_DR2_BAO_only,cpl,5.812068096319139,13,4,9,13.81206809631914,16.071865526165286,62.07319627485567,0.38616720822053546,-0.18327564098741286,-2.705489801306164,"H0,Omega_m,w0,wa",5.812068096319139,-0.18327564098741286,-2.705489801306164,,,,
DESI_DR2_BAO_plus_Planck_H0_Om,cpl,8.459514792366393,15,4,11,16.45951479236639,19.291715596775234,67.28120817577131,0.3149538624181928,-0.8203725118201607,-0.5340942574841879,"H0,Omega_m,w0,wa",8.403025359975437,-0.8203725118201607,-0.5340942574841879,,,,
DESI_DR2_BAO_only,ash,5.934485645774906,13,4,9,13.934485645774906,16.19428307562105,61.13313570147189,0.39171629191320995,8.0,-5.718413707258596,"H0,Omega_m,b1,b2",5.934485645774906,,,1.0,1.9596029104518016,0.0686067146371403,-4.652985922669416
DESI_DR2_BAO_plus_Planck_H0_Om,ash,8.79897899793125,15,4,11,16.79897899793125,19.631179802340093,67.23533713594409,0.31381926857546083,1.271223761423903,-0.9659086080873414,"H0,Omega_m,b1,b2",8.662071997492125,,,1.0,1.9596029104518016,-0.7928088139285001,-0.8126357916782933
