omega_ash,alpha_mu,loglike,chi2,aic,bic
0.025,0.05,116.149890567298,1.408283972389416,-216.299781134596,-198.1983421182655
0.011,0.08,116.12195935575556,1.464146395474292,-216.24391871151113,-198.1424796951806
0.023,0.09,116.11818636734594,1.4716923722935342,-216.23637273469188,-198.13493371836137
0.026000000000000002,0.085,116.11579319274281,1.4764787214997999,-216.23158638548563,-198.1301473691551
0.029,0.06,116.11561239922136,1.4768403085427038,-216.23122479844272,-198.1297857821122
0.014,0.055,116.1153241354346,1.4774168361161912,-216.2306482708692,-198.1292092545387
0.012,0.085,116.11192539490665,1.48421431717215,-216.2238507898133,-198.12241177348278
0.017,0.05,116.11150798095395,1.4850491450775494,-216.2230159619079,-198.12157694557737
0.028,0.055,116.10475497758642,1.4985551518125866,-216.20950995517285,-198.10807093884233
0.014,0.09,116.08817089077533,1.5317233254347937,-216.17634178155066,-198.07490276522014
0.011,0.065,116.08646132673192,1.5351424535215696,-216.17292265346384,-198.07148363713333
0.029,0.075,116.08046491260691,1.5471352817715907,-216.16092982521383,-198.0594908088833
0.012,0.06,116.07873230059741,1.550600505790629,-216.15746460119482,-198.0560255848643
0.026000000000000002,0.05,116.07847284423138,1.5511194185226445,-216.15694568846277,-198.05550667213225
0.028,0.08,116.07480740800253,1.558450290980351,-216.14961481600506,-198.04817579967454
0.024,0.09,116.03694453933977,1.634176028305864,-216.07388907867954,-197.97245006234903
0.016,0.05,116.03084551901128,1.646374068962874,-216.06169103802256,-197.96025202169204
0.01,0.075,116.03051110668838,1.6470428936086428,-216.06102221337676,-197.95958319704624
0.03,0.065,116.0229067309659,1.6622516450536182,-216.0458134619318,-197.94437444560128
0.01,0.07,116.01337102867049,1.6813230496444573,-216.02674205734098,-197.92530304101047
0.03,0.07,116.00557928863219,1.69690652972106,-216.01115857726438,-197.90971956093387
0.013000000000000001,0.09,116.00068683182246,1.7066914433404785,-216.00137366364493,-197.8999346473144
