epsilon,connected,reachable,gap,lambda2,max_formula_error,min_eigen
0.0,False,128,1.1102230246251565e-16,0.9999999999999999,1.4432899320127035e-15,0.4285714285714276
0.0001,True,256,0.000200000000000089,0.9997999999999999,1.2212453270876722e-15,0.4285285714285703
0.001,True,256,0.0019999999999997797,0.9980000000000002,9.992007221626409e-16,0.4281428571428564
0.01,True,256,0.020000000000000573,0.9799999999999994,1.2212453270876722e-15,0.42428571428571343
0.05,True,256,0.10000000000000053,0.8999999999999995,1.4432899320127035e-15,0.4071428571428563
0.1,True,256,0.1999999999999994,0.8000000000000006,1.6653345369377348e-15,0.38571428571428473
0.25,True,256,0.24999999999999833,0.7500000000000017,1.6653345369377348e-15,0.285714285714285
0.5,True,256,0.24999999999999822,0.7500000000000018,1.7763568394002505e-15,-3.8714013761717216e-16
