state_index,x1_to_x8,x9_parity,hamming_weight_8,weight_sector
230,11100110,1,5,1
231,11100111,0,6,0
232,11101000,0,4,0
233,11101001,1,5,1
234,11101010,1,5,1
235,11101011,0,6,0
236,11101100,1,5,1
237,11101101,0,6,0
238,11101110,0,6,0
239,11101111,1,7,1
240,11110000,0,4,0
241,11110001,1,5,1
242,11110010,1,5,1
243,11110011,0,6,0
244,11110100,1,5,1
245,11110101,0,6,0
246,11110110,0,6,0
247,11110111,1,7,1
248,11111000,1,5,1
249,11111001,0,6,0
250,11111010,0,6,0
251,11111011,1,7,1
252,11111100,0,6,0
253,11111101,1,7,1
254,11111110,1,7,1
255,11111111,0,8,0
