a,z,parity_density,shell_width,entropy_channel,defect_channel,memory_channel,ash_source_E,w_ash
0.001,999.0,0.5,0.4444444444444444,0.04685951027052836,2.8241897811796988,0.0038911662369105217,1.0103314362820142,-1.0059824557250368
0.0010592537251772887,943.0608762859235,0.5,0.4444444444444444,0.04932518872733276,2.823939034850473,0.004120641866734385,1.011399125498312,-1.006251074547341
0.001122018454301963,890.2509381337459,0.5,0.4444444444444444,0.05190482788933365,2.8236734713318756,0.0043635826132720395,1.0125156040390109,-1.0065275937990994
0.001188502227437019,840.3951416451947,0.5,0.4444444444444444,0.05460215656897708,2.823392217577708,0.004620770373765699,1.0136824006829905,-1.00681185509327
0.0012589254117941675,793.3282347242813,0.5,0.4444444444444444,0.05742088431652763,2.8230943494098972,0.0048930314591850025,1.0149010265277385,-1.0071036587286222
0.001333521432163324,748.8942093324558,0.5,0.4444444444444444,0.06036468737270412,2.8227788885615244,0.005181238997792483,1.0161729681138087,-1.007402761875048
0.001412537544622754,706.945784384138,0.5,0.4444444444444444,0.06343719391590406,2.8224447995534514,0.005486315454356174,1.017499680196736,-1.0077088770420244
0.0014962356560944327,667.3439175686149,0.5,0.4444444444444444,0.06664196868547977,2.8220909863957617,0.0058092352687895005,1.0188825782007405,-1.00802167080619
0.001584893192461114,629.957344480193,0.5,0.4444444444444444,0.06998249707743626,2.821716289104803,0.006151027617882815,1.0203230303951039,-1.0083407628767054
0.0016788040181225606,594.6621435290103,0.5,0.4444444444444444,0.07346216882356083,2.821319480026271,0.006512779303633173,1.021822349840524,-1.0086657255199754
0.0017782794100389228,561.3413251903492,0.5,0.4444444444444444,0.07708426137900444,2.820899259954299,0.006895637771473643,1.0233817861588512,-1.0089960833780933
0.0018836490894898002,529.8844442309885,0.5,0.4444444444444444,0.08085192315633102,2.8204542540361612,0.0073008142614438476,1.0250025171852941,-1.0093313137179638
0.001995262314968879,500.18723362727246,0.5,0.4444444444444444,0.084768156755639,2.8199830074517473,0.007729587095023508,1.0266856405671536,-1.0096708471181786
0.0021134890398366475,472.1512589614803,0.5,0.4444444444444444,0.08883580235013872,2.8194839808565506,0.008183305099962393,1.0284321653773476,-1.01001406863053
0.00223872113856834,445.6835921509631,0.5,0.4444444444444444,0.0930575213941585,2.818955545576514,0.008663391174975662,1.0302430038141464,-1.0103603193994488
0.0023713737056616554,420.6965034285822,0.5,0.4444444444444444,0.09743578082559858,2.818395978542625,0.009171345995624549,1.032118963060563,-1.0107088987704937
0.0025118864315095794,397.1071705534974,0.5,0.4444444444444444,0.10197283793704012,2.8178034569527926,0.009708751862058839,1.0340607373775572,-1.0110590668415493
0.0026607250597988083,374.83740428844436,0.5,0.4444444444444444,0.10667072608880707,2.8171760526481098,0.010277276688550704,1.0360689005045116,-1.0114100474683567
0.002818382931264455,353.8133892335753,0.5,0.4444444444444444,0.11153124143308299,2.8165117261902415,0.010878678133887557,1.0381438984382494,-1.0117610316824335
0.0029853826189179603,333.9654391578276,0.5,0.4444444444444444,0.11655593081062719,2.815808320626332,0.01151480787070451,1.0402860426581393,-1.0121111814770092
0.0031622776601683794,315.2277660168379,0.5,0.4444444444444444,0.12174608097071185,2.815063554927478,0.01218761599071275,1.0424955038595802,-1.0124596339223215
0.003349654391578276,297.538261891796,0.5,0.4444444444444444,0.12710270925072567,2.8142750170865547,0.01289915554150615,1.0447723062514218,-1.0128055055475274
0.0035481338923357532,280.8382931264455,0.5,0.4444444444444444,0.13262655583467428,2.8134401568609126,0.013651587189193555,1.0471163224647617,-1.013147896931881
0.003758374042884443,265.0725059798809,0.5,0.4444444444444444,0.1383180776898596,2.812556278145281,0.014447183999494304,1.0495272691111839,-1.0134858974239436
0.003981071705534973,250.18864315095794,0.5,0.4444444444444444,0.14417744425874776,2.8116205309600915,0.015288336328137937,1.052004703018096,-1.0138185899206436
0.004216965034285823,236.13737056616552,0.5,0.4444444444444444,0.15020453495892638,2.8106299030403914,0.016177556809413067,1.0545480181575364,-1.0141450556333822
0.0044668359215096305,222.872113856834,0.5,0.4444444444444444,0.15639893851865064,2.8095812110105176,0.01711748542950223,1.0571564432729743,-1.0144643787449579
0.0047315125896148025,210.34890398366477,0.5,0.4444444444444444,0.162759954149395,2.8084710911299284,0.01811089466880906,1.0598290401964645,-1.0147756509039088
0.005011872336272725,198.5262314968879,0.5,0.4444444444444444,0.16928659453067355,2.807295989595759,0.019160694694819787,1.0625647028362826,-1.015077975454673
0.005308844442309885,187.36490894898,0.5,0.4444444444444444,0.17597759055680087,2.8060521523881623,0.020269938584135068,1.0653621568032443,-1.0153704713585825
0.005623413251903491,176.82794100389228,0.5,0.4444444444444444,0.18283139777084484,2.8047356146450264,0.021441827549153622,1.06821995963247,-1.015652276713051
0.005956621435290103,166.88040181225608,0.5,0.4444444444444444,0.18984620438832153,2.8033421895534256,0.022679716141481482,1.07113650154674,-1.0159225518486101
0.00630957344480193,157.4893192461114,0.5,0.4444444444444444,0.197019940792724,2.801867456746154,0.02398711740048056,1.0741100066979756,-1.0161804819111036
0.006683439175686149,148.6235656094433,0.5,0.4444444444444444,0.20435029036716384,2.8003067501928887,0.025367707911459585,1.0771385348150266,-1.016425278939955
0.00707945784384138,140.2537544622754,0.5,0.4444444444444444,0.21183470151158115,2.7986551455770483,0.026825332733858627,1.08021998317895,-1.016656183363939
0.007498942093324558,132.35214321633242,0.5,0.4444444444444444,0.21947040068337503,2.796907447151177,0.028364010155399685,1.0833520888415107,-1.0168724649476233
0.007943282347242814,124.89254117941674,0.5,0.4444444444444444,0.22725440629104943,2.7950581740659106,0.029987936223589553,1.086532430998759,-1.0170734231383132
0.008413951416451947,117.8502227437019,0.5,0.4444444444444444,0.2351835432655927,2.7931015461700497,0.03170148900119915,1.0897584334292738,-1.0172583868490266
0.008912509381337459,111.2018454301963,0.5,0.4444444444444444,0.24325445813273958,2.7910314692823337,0.0335092324874409,1.0930273669060377,-1.017426713669911
0.009440608762859235,104.92537251772887,0.5,0.4444444444444444,0.25146363441084113,2.7888415199389565,0.035415920141571654,1.0963363514918276,-1.0175777885454838
0.01,99.0,0.5,0.4444444444444444,0.2598074081635713,2.7865249296249184,0.03742649794062363,1.0996823586304532,-1.0177110219359844
0.010592537251772886,93.40608762859236,0.5,0.4444444444444444,0.26828198354380606,2.784074568501964,0.039546106897978064,1.1030622129499958,-1.017825847509756
0.011220184543019636,88.12509381337455,0.5,0.4444444444444444,0.27688344817440813,2.78148292865117,0.04178008496463554,1.1064725936993203,-1.0179217194006682
0.011885022274370183,83.13951416451951,0.5,0.4444444444444444,0.285607788222932,2.7787421068543523,0.04413396823039741,1.1099100357454221,-1.0179981090909591
0.012589254117941675,78.43282347242813,0.5,0.4444444444444444,0.29445090304005767,2.7758437869453347,0.04661349133787232,1.1133709300664676,-1.018054501958765
0.01333521432163324,73.98942093324558,0.5,0.4444444444444444,0.30340861924545576,2.772779221769941,0.04922458701838619,1.1168515236836116,-1.018090393547355
0.01412537544622754,69.79457843841381,0.5,0.4444444444444444,0.3124767041594104,2.769539214802371,0.051973384655650746,1.1203479189836945,-1.0181052856222432
0.014962356560944336,65.83439175686145,0.5,0.4444444444444444,0.321650878493502,2.7661141014754933,0.05486620778058924,1.1238560723946165,-1.0180986820623683
0.015848931924611134,62.09573444801933,0.5,0.4444444444444444,0.330926828228656,2.7624937302936083,0.057909570399203664,1.127371792385499,-1.0180700846443467
0.016788040181225608,58.56621435290103,0.5,0.4444444444444444,0.34030021562360285,2.75866744380859,0.06111017205497767,1.1308907367746233,-1.018018988779516
0.01778279410038923,55.2341325190349,0.5,0.4444444444444444,0.3497666893109951,2.754624059553943,0.06447489152823364,1.1344084093394744,-1.0179448792634689
0.018836490894898,52.08844442309885,0.5,0.4444444444444444,0.35932189345191434,2.7503518510464677,0.06801077907730348,1.1379201557350858,-1.0178472260944456
0.0199526231496888,49.11872336272722,0.5,0.4444444444444444,0.36896147593206796,2.7458385289819254,0.0717250471305228,1.141421158739209,-1.0177254804023992
0.021134890398366465,46.315125896148054,0.5,0.4444444444444444,0.3786810955945374,2.7410712227694085,0.07562505934411604,1.144906432855658,-1.0175790705753132
0.0223872113856834,43.66835921509631,0.5,0.4444444444444444,0.38847642851439157,2.736036462569233,0.07971831794918664,1.148370818320545,-1.0174073985967822
0.023713737056616554,41.169650342858226,0.5,0.4444444444444444,0.39834317332978836,2.7307201620210404,0.08401244932142231,1.1518089745700533,-1.0172098366905034
0.025118864315095794,38.810717055349734,0.5,0.4444444444444444,0.4082770556523426,2.7251076018725766,0.08851518771991355,1.1552153732429387,-1.0169857242937148
0.0266072505979881,36.583740428844415,0.5,0.4444444444444444,0.4182738315865614,2.719183414745324,0.09323435715675647,1.1585842908061672,-1.0167343654403536
0.028183829312644536,34.48133892335755,0.5,0.4444444444444444,0.4283292903940761,2.7129315713008215,0.09817785137692768,1.161909800908007,-1.0164550265926988
0.029853826189179603,32.49654391578276,0.5,0.4444444444444444,0.438439256343307,2.7063353681010716,0.1033536119482755,1.1651857665795182,-1.016146934989636
0.03162277660168379,30.622776601683796,0.5,0.4444444444444444,0.4485995897891474,2.699377417488006,0.108769604484295,1.1684058324227773,-1.015809277566503
0.03349654391578276,28.853826189179603,0.5,0.4444444444444444,0.45880618753035457,2.6920396398402673,0.11443379304750897,1.1715634169422549,-1.0154412005085962
0.03548133892335755,27.183829312644534,0.5,0.4444444444444444,0.4690549824946594,2.684303258600591,0.12035411280852444,1.1746517051945082,-1.015041809495094
0.037583740428844416,25.6072505979881,0.5,0.4444444444444444,0.47934194280327974,2.676148798503611,0.1265384410648684,1.1776636419507134,-1.0146101707098705
0.039810717055349734,24.118864315095795,0.5,0.4444444444444444,0.48966307026762235,2.667556087471599,0.13299456675411078,1.180591925586312,-1.0141453126713726
0.042169650342858224,22.71373705661655,0.5,0.4444444444444444,0.5000143983715918,2.6585042626842212,0.13973015862705415,1.1834290029321044,-1.0136462289491064
0.0446683592150963,21.3872113856834,0.5,0.4444444444444444,0.5103919897931897,2.6489717813673797,0.14675273227832225,1.1861670653411827,-1.013111881849483
0.04731512589614805,20.134890398366466,0.5,0.4444444444444444,0.520791933519065,2.638936436884942,0.154069616262825,1.188798046245874,-1.012541207119234
0.05011872336272722,18.9526231496888,0.5,0.4444444444444444,0.5312103416054483,2.6283753807550676,0.16168791755658188,1.1913136204980417,-1.0119331197384147
0.053088444423098846,17.836490894898002,0.5,0.4444444444444444,0.54164334563855,2.617265151248977,0.1696144866484395,1.1937052058041773,-1.0112865208852047
0.05623413251903491,16.78279410038923,0.5,0.4444444444444444,0.552087092947076,2.605581709263412,0.17785588257448992,1.1959639665832764,-1.0106003061114506
0.059566214352901034,15.788040181225607,0.5,0.4444444444444444,0.5625377426190908,2.593300482187533,0.18641833822865087,1.1980808205899578,-1.0098733748093531
0.06309573444801933,14.848931924611133,0.5,0.4444444444444444,0.5729914613750533,2.5803964165092284,0.19530772630007642,1.2000464486570193,-1.0091046410167588
0.06683439175686146,13.962356560944336,0.5,0.4444444444444444,0.5834444193485416,2.566844039923223,0.20452952620007564,1.201851307919987,-1.0082930456156889
0.0707945784384138,13.12537544622754,0.5,0.4444444444444444,0.5938927858259541,2.552617533712236,0.21408879234734066,1.20348564889043,-1.0074375699641211
0.07498942093324558,12.335214321633241,0.5,0.4444444444444444,0.6043327249963781,2.5376908161708283,0.22399012417996794,1.2049395367441535,-1.006537251002146
0.07943282347242814,11.589254117941675,0.5,0.4444444444444444,0.614760391762842,2.5220376378273204,0.23423763825559477,1.20620287718396,-1.0055911978481353
0.08413951416451952,10.885022274370183,0.5,0.4444444444444444,0.6251719276663138,2.505631689190054,0.24483494278672288,1.2072654472237045,-1.0045986099105517
0.08912509381337455,10.220184543019634,0.5,0.4444444444444444,0.6355634569740747,2.488446721697721,0.2557851149369489,1.2081169312199256,-1.0035587964959671
0.09440608762859236,9.592537251772887,0.5,0.4444444444444444,0.6459310829844499,2.470456682487116,0.26709068117552315,1.2087469624485978,-1.0024711979093595
0.1,9.0,0.5,0.4444444444444444,0.6562708846002864,2.4516358635026982,0.278753600952829,1.2091451704866392,-1.001335408002558
0.10592537251772886,8.440608762859236,0.5,0.4444444444444444,0.6665789132240123,2.4319590653582543,0.2907752539186191,1.2093012346099183,-1.0001511981044533
0.1122018454301963,7.912509381337458,0.5,0.4444444444444444,0.6768511900275035,2.4114017762192503,0.303156430858968,1.2092049433609078,-0.9989185422622403
0.1188502227437019,7.4139514164519476,0.5,0.4444444444444444,0.687083703650303,2.3899403658027305,0.3158973284779034,1.2088462603691725,-0.9976376436569095
0.12589254117941676,6.943282347242813,0.5,0.4444444444444444,0.6972724083798906,2.3675522943879916,0.3289975480966897,1.2082153964260858,-0.9963089620740505
0.1333521432163324,6.498942093324558,0.5,0.4444444444444444,0.7074132228676213,2.344216336494113,0.3424560982890053,1.2073028877211702,-0.9949332422198578
0.1412537544622754,6.079457843841381,0.5,0.4444444444444444,0.7175020294335468,2.319912818608978,0.35627140141507935,1.2060996800412542,-0.9935115426820861
0.1496235656094433,5.683439175686148,0.5,0.4444444444444444,0.727534674012531,2.2946238700484867,0.37044130396357094,1.2045972186153235,-0.9920452652491428
0.15848931924611143,5.30957344480193,0.5,0.4444444444444444,0.7375069667927519,2.268333685685326,0.38496309055786604,1.2027875431581756,-0.9905361842886716
0.16788040181225605,4.956621435290104,0.5,0.4444444444444444,0.7474146835957619,2.2410287989159157,0.3998335014347433,1.2006633875256119,-0.9889864758004695
0.1778279410038923,4.62341325190349,0.5,0.4444444444444444,0.7572535680446647,2.2126983628357157,0.4150487531591267,1.1982182832444248,-0.9873987457263876
0.18836490894898,4.308844442309885,0.5,0.4444444444444444,0.7670193345635251,2.1833344371719536,0.43060456229980704,1.1954466660237315,-0.9857760570262192
0.1995262314968879,4.011872336272725,0.5,0.4444444444444444,0.7767076722468242,2.152932278086047,0.446496171758353,1.1923439841928578,-0.9841219549724658
0.21134890398366477,3.7315125896148027,0.5,0.4444444444444444,0.7863142496324563,2.1214906275142043,0.46271837941745186,1.1889068078480671,-0.9824404900464203
0.223872113856834,3.46683592150963,0.5,0.4444444444444444,0.7958347204054123,2.089011998274707,0.47926556875597287,1.1851329373297776,-0.980736237759719
0.23713737056616552,3.2169650342858223,0.5,0.4444444444444444,0.8052647300518272,2.055502950746731,0.49613174106621477,1.181021509497921,-0.9790143146655615
0.25118864315095796,2.981071705534973,0.5,0.4444444444444444,0.8145999234744522,2.0209743565327463,0.5133105489039925,1.176573100130763,-0.977280389766715
0.26607250597988086,2.758374042884443,0.5,0.4444444444444444,0.8238359535708475,1.9854416441705676,0.5307953304041462,1.171789820647409,-0.9755406904713984
0.2818382931264455,2.5481338923357533,0.5,0.4444444444444444,0.8329684907646929,1.9489250216792358,0.5485791441022418,1.1666754072522925,-0.9738020022344945
0.298538261891796,2.349654391578276,0.5,0.4444444444444444,0.8419932334686394,1.9114496705232344,0.5666548039170878,1.1612353005274374,-0.9720716609840262
0.31622776601683794,2.162277660168379,0.5,0.4444444444444444,0.8509059194441749,1.8730459054802262,0.5850149139675002,1.1554767134614579,-0.9703575374344436
0.3349654391578276,1.98538261891796,0.5,0.4444444444444444,0.8597023380101851,1.8337492949161827,0.6036519029197215,1.1494086859091917,-0.968668012428156
