a,z,E2,H_km_s_Mpc,ash_source_E,w_ash,q,t_Gyr_since_a_min,chi_Mpc_from_a_min
0.0010000000000000002,998.9999999999998,405000000.6851163,1408722.8270163971,1.0103314362820142,-1.0059824557250368,0.6111111084704532,0.0,0.0
0.001013939457675292,985.2521794868783,387338013.0431934,1377663.3347489682,1.0105838218860066,-1.0060463249201923,0.6099193842933346,9.716413642782829e-06,2.958501599980069
0.0010280732238308657,971.6933615426169,370458437.65348405,1347310.7824485307,1.0108389614579834,-1.006110656608505,0.6087368680306469,1.9651802359851857e-05,5.942088401856319
0.001042404007021557,958.320947793824,354326002.46706,1317648.4402482302,1.0110968764393693,-1.0061754492107837,0.6075635654022591,2.981093480733213e-05,8.950923848890485
0.0010569345535579883,945.132375589077,338907055.80261856,1288659.9913991396,1.0113575882451418,-1.006240701020188,0.6063994802095749,4.0198680948207195e-05,11.985172324347046
0.0010716676480328634,932.1251175078249,324169490.4371842,1260329.521649875,1.0116211182588972,-1.0063064102012589,0.6052446145131682,5.082001418101574e-05,15.044999161292324
0.0010866061138545978,919.2966808760411,310082671.3230938,1232641.5089080683,1.011887487827831,-1.0063725747879098,0.6040989685439655,6.168001351327025e-05,18.130570652469718
0.0011017528137883873,906.6446072885358,296617366.75475657,1205580.8131760836,1.0121567182576472,-1.0064391926773641,0.6029625407920634,7.278386578053527e-05,21.24205406024945
0.001117110650504824,894.1664721378303,283745682.8174084,1179132.6667535342,1.0124288308073872,-1.0065062616369256,0.6018353280333741,8.413686791213137e-05,24.379617626653648
0.0011326825671361545,881.8598841495144,271441000.95840186,1153282.6646994087,1.0127038466841813,-1.0065737792950624,0.6007173253029805,9.57444292444357e-05,27.543430583453336
0.0011484715478402897,869.7224849239916,259677918.5294466,1128016.755546782,1.0129817870379267,-1.0066417431415748,0.5996085260194803,0.00010761207388278234,30.733663162337354
0.0011644806183726862,857.7519484845174,248432192.15569454,1103321.232263253,1.0132626729558913,-1.0067101505293152,0.5985089219228144,0.00011974544311299291,33.95048660515473
0.0011807128466661898,845.9459808314588,237680683.79470578,1079182.7234505091,1.0135465254572436,-1.0067789986696436,0.5974185031542021,0.00013215029786356534,37.19407317422562
0.0011971713434189674,834.3023195026775,227401309.3550585,1055588.184776519,1.0138333654875102,-1.0068482846294082,0.5963372582739055,0.00014483252121959777,40.46459616272348
0.0012138592626906284,822.8187331399605,217572989.75080562,1032524.8906340939,1.0141232139129654,-1.0069180053333928,0.5952651742878743,0.0001577981209895252,43.762229905125004
0.001230779802506665,811.4930210614052,208175604.27405778,1009980.4260196745,1.014416091514949,-1.0069881575634738,0.5942022366832731,0.0001710532323257907,47.087149787730375
