a,z,E2,H_km_s_Mpc,ash_source_E,w_ash,q,t_Gyr_since_a_min,chi_Mpc_from_a_min
0.0010000000000000002,998.9999999999998,405000000.68490964,1408722.8270160377,1.0103314362820142,-1.0059824557250368,0.6111111084615715,0.0,0.0
0.001013939457675292,985.2521794868783,387338013.0429817,1377663.3347485918,1.0105838218860066,-1.0060463249201923,0.6099193842933346,9.716413642785395e-06,2.95850159998085
0.0010280732238308657,971.6933615426169,370458437.65326726,1347310.7824481365,1.0108389614579834,-1.006110656608505,0.6087368680395286,1.9651802359857234e-05,5.942088401857944
0.001042404007021557,958.320947793824,354326002.46683806,1317648.4402478177,1.0110968764393693,-1.0061754492107837,0.6075635653933773,2.981093480734058e-05,8.950923848893021
0.0010569345535579883,945.132375589077,338907055.8023914,1288659.991398708,1.0113575882451418,-1.006240701020188,0.6063994802095749,4.019868094821901e-05,11.985172324350566
0.0010716676480328634,932.1251175078249,324169490.43695176,1260329.521649423,1.0116211182588972,-1.0063064102012589,0.6052446145131682,5.0820014181031245e-05,15.044999161296904
0.0010866061138545978,919.2966808760411,310082671.322856,1232641.5089075956,1.011887487827831,-1.0063725747879098,0.6040989685439655,6.168001351328978e-05,18.13057065247544
0.0011017528137883873,906.6446072885358,296617366.75451344,1205580.8131755895,1.0121567182576472,-1.0064391926773641,0.6029625407920634,7.278386578055921e-05,21.242054060256407
0.001117110650504824,894.1664721378303,283745682.8171598,1179132.6667530176,1.0124288308073872,-1.0065062616369256,0.6018353280244924,8.413686791216012e-05,24.379617626661933
0.0011326825671361545,881.8598841495144,271441000.95814776,1153282.6646988692,1.0127038466841813,-1.0065737792950624,0.6007173253029805,9.57444292444697e-05,27.543430583463053
0.0011484715478402897,869.7224849239916,259677918.52918696,1128016.755546218,1.0129817870379267,-1.0066417431415748,0.5996085260194803,0.00010761207388282209,30.733663162348616
0.0011644806183726862,857.7519484845174,248432192.1554293,1103321.232262664,1.0132626729558913,-1.0067101505293152,0.5985089219316961,0.00011974544311303894,33.950486605167654
0.0011807128466661898,845.9459808314588,237680683.79443485,1079182.7234498942,1.0135465254572436,-1.0067789986696436,0.5974185031542021,0.0001321502978636182,37.19407317424034
0.0011971713434189674,834.3023195026775,227401309.35478184,1055588.1847758768,1.0138333654875102,-1.0068482846294082,0.5963372582827873,0.0001448325212196581,40.46459616274012
0.0012138592626906284,822.8187331399605,217572989.75052315,1032524.8906334236,1.0141232139129654,-1.0069180053333928,0.5952651742878743,0.0001577981209895937,43.76222990514372
0.001230779802506665,811.4930210614052,208175604.27376947,1009980.4260189751,1.014416091514949,-1.0069881575634738,0.5942022366832731,0.00017105323232586807,47.08714978775132
0.001247936205471312,800.3230128396883,199189946.1734916,987942.6786256928,1.014712018984116,-1.0070587379519924,0.5931484294551268,0.00018460412040065903,50.439532259273214
0.0012653317593889434,789.3065678861345,190597680.33412308,966399.8311450614,1.0150110169146236,-1.007129742984237,0.5921037351240841,0.00019845718313781907,53.81955484148236
0.001282969797894148,778.4415750404947,182381302.95276412,945340.3537713516,1.0153131057982498,-1.0072011689983709,0.5910681348163536,0.0002126189540022249,57.22739613993614
0.0013008537010905721,767.7259521663726,174524103.1187775,924752.9969035028,1.015618306018452,-1.0072730121810411,0.5900416082192947,0.0002270961048477211,60.66323585476117
0.0013189868961986707,757.1576457522109,167010126.20426294,904626.7840390801,1.0159266378443608,-1.0073452685680753,0.589024133670236,0.00024189544882489947,64.12725479150339
0.0013373728582124966,746.7346305177587,159824138.9783846,884951.0048551188,1.01623812142472,-1.00741793404372,0.588015688174238,0.00025702394334997853,67.61963487204439
0.0013560151105656336,736.4549090259553,152951596.3627975,865715.2084708387,1.0165527767817608,-1.0074910043384886,0.5870162474040939,0.0002724886931360483,71.14055914557923
0.0013749172258064205,726.3165113001454,146378609.7494487,846909.1968873042,1.016870623805031,-1.0075644750305939,0.5860257857713833,0.0002882969532880074,74.69021179965925
0.0013940828262825784,716.3174944465613,140091916.80589104,828523.0185992819,1.0171916822451614,-1.0076383415394699,0.5850442764442363,0.0003044561324625154,78.26877817129575
0.0014135155848353956,706.455942281988,134078852.69688657,810546.9623746327,1.0175159717075857,-1.0077125991348668,0.5840716913650965,0.0003209737960943451,81.87644475812851
0.0014332192255035751,696.7299649665532,128327322.65456823,792971.5511967527,1.01784351164621,-1.0077872429260264,0.5831080012862486,0.0003378576696905068,85.51339922965374
0.0014531975242368966,687.1376986415664,122825775.83271506,775787.5363656622,1.0181743213570342,-1.0078622678646492,0.5821531758142271,0.0003551156421935799,89.17983043851342
0.0014734543096198355,677.6773050723297,117563180.38383617,758985.8917534616,1.0185084199717325,-1.0079376687486175,0.581207183418698,0.0003727557694157128,92.87592843184765
0.0014939934636052574,668.3469712958663,112528999.70075057,742557.8082100261,1.0188458264511857,-1.0080134402144783,0.5802699914768681,0.00039078627754475466,96.60188446270487
0.0015148189222583468,659.1449092734886,107713169.7671709,726494.6881148804,1.0191865595789802,-1.008089576741891,0.5793415663090116,0.0004092155667240529,100.35789100151378
0.001535934676510898,650.0693555481457,103106077.56450409,710788.1400713366,1.019530637954863,-1.0081660726497859,0.5784218731784705,0.00042805221470744654,104.14414174761325
0.0015573447729261346,641.1185709064761,98698540.48463306,695429.9737390544,1.0198780799881693,-1.0082429221012181,0.5775108763627088,0.00044730498059105674,107.96083164084435
0.0015790533144741765,632.2908400455112,94481786.70089088,680412.1948013316,1.0202289038912116,-1.0083201190973572,0.5766085391444307,0.0004669828086234605,111.80815687319891
0.0016010644613183185,623.5844712439615,90447436.45174153,665727.0000634897,1.020583127672642,-1.008397657479837,0.5757148238559893,0.0004870948320959076,115.68631490052721
0.001623382431612279,614.9977960380165,86587484.1938862,651366.772678836,1.02094076913079,-1.008475530932396,0.5748296919326776,0.0005076503773142683,119.5955044543059
0.0016460115023085504,606.5291689016075,82894281.58361001,637324.0774987943,1.0213018458469731,-1.008553732978907,0.5739531038860832,0.0005286589676544087,123.53592555346238
0.0016689560099780252,598.1769669310618,79360521.24716616,623591.656543859,1.0216663751787887,-1.008632256983214,0.5730850193929058,0.000550130327702762,127.50777951625828
0.0016922203516410376,589.939589534097,75979221.30289215,610162.4245921503,1.0220343742533873,-1.0087110961486647,0.5722253972771938,0.000572074387483868,131.51126897222954
0.0017158089856100052,581.8154581230845,72743710.59954396,597029.4648824005,1.0224058599607302,-1.0087902435252165,0.5713741955636351,0.0005945012867767321,135.54659787418672
0.0017397264323438027,573.803015812535,69647614.63705334,584186.0249283282,1.022780848946838,-1.0088696919966815,0.5705313714953206,0.0006174213795218378,139.61397151027066
0.0017639772753140453,565.9007271207433,66684842.137531936,571625.5124414116,1.023159357607027,-1.0089494342939838,0.5696968815603896,0.00064084523832073,143.71359651606568
0.0017885661618834618,558.1070776755294,63849572.235893644,559341.4913591507,1.0235414020791413,-1.0090294629904488,0.5688706815275566,0.0006647836590301264,147.84568088677258
0.0018134978041964953,550.4205739240302,61136242.2609428,547327.677976018,1.0239269982367845,-1.0091097705013214,0.5680527264549937,0.0006892476654525107,152.01043398943642
0.0018387769800823285,542.8397428464797,58539536.07916761,535577.93717434,1.024316161682549,-1.0091903490844736,0.5672429707525026,0.0007142485141252592,156.20806657523306
0.0018644085339704869,535.363131673924,56054372.97481396,524086.2787524478,1.02470890774125,-1.0092711908454095,0.5664413681637512,0.0007397976992103478,160.4387907918116
0.0018903973778192213,527.9893076098151,53675897.0410756,512846.8538474917,1.0251052514531689,-1.0093522877343648,0.5656478718106825,0.0007659069574867795,164.70282019569703
0.0019167484920568163,520.7168575554346,51399467.05844651,501853.95145040745,1.0255052075673075,-1.0094336315470285,0.5648624342379236,0.0007925882734478538,169.00036976474735
0.0019434669265360215,513.5443878390927,49220646.83742088,491101.99501057045,1.0259087905346511,-1.0095152139270467,0.5640850074127854,0.0008198538845054961,173.33165591066884
0.0019705578015017998,506.47052394904676,47135196.003816806,480585.5391277419,1.026316014501457,-1.0095970263696774,0.563315542734145,0.0008477162863039074,177.69689649159062
0.00199802630857255,499.49391027009557,45139061.20603944,470299.26632899744,1.0267268933025573,-1.0096790602163837,0.5625539911301445,0.000876188238144797,182.09631082469463
0.0020258777117350183,492.6132098237914,43228367.724580266,460237.9839283621,1.027141440454688,-1.0097613066624667,0.5618003029782557,0.0009052827685265698,186.5301196989049
0.0020541173483530654,485.8271040122281,41399411.46499172,450396.6209669644,1.0275596691498499,-1.0098437567585286,0.5610544282385064,0.0009350131807998321,190.9985453876329
0.002082750630190515,479.1342923653453,39648651.316464424,440770.22523155494,1.0279815922486917,-1.0099264014040827,0.5603163163646627,0.000965393058941695,195.50181166158401
0.002111783044448245,472.53349229171147,37972701.858988784,431353.9603493227,1.0284072222739384,-1.0100092313609403,0.5595859164374559,0.0009964362734513278,200.04014380161993
0.00214122015481573,466.02343883273335,36368326.40288671,422143.102956977,1.028836571403849,-1.0100922372439176,0.558863177093528,0.001028156987369322,204.6137686116791
0.0021710676025372654,459.6028844202402,34832430.34526894,413133.0399421206,1.0292696514657205,-1.0101754095310307,0.5581480466142494,0.001060569662423484,209.22291443175854
0.002201331107493031,453.2705986374046,33362054.828707527,404319.26575500565,1.0297064739294362,-1.0102587385610493,0.5574404728990743,0.001093689065303677,213.86781115095272
0.002232016469295235,447.0253679829489,31954370.68810718,395697.3797888042,1.0301470499010625,-1.010342214534735,0.5567404035277121,0.0011275302740684392,218.54869022055186
0.00226312956839953,440.86599563859403,30606672.672423046,387263.08382658026,1.0305913901164954,-1.010425827523877,0.5560477857601285,0.0011621086846861348,223.2657846671997
0.0022946763672319365,434.79130123970293,29316373.928502623,379012.1795531944,1.031039504935165,-1.0105095674610665,0.555362566554308,0.001197440017713481,228.01932910611282
0.00232666291133146,428.8001206490795,28081000.734931745,370940.5661304322,1.0314914043338002,-1.010593424154889,0.5546846925929003,0.0012335403251143044,232.80955975435842
0.002359095330508636,422.8913057338779,26898187.474334646,363044.237833683,1.03194709790025,-1.0106773872843187,0.5540141103098648,0.001270425997221481,237.6367144441922
