,E2,H_km_s_Mpc,ash_source_E,w_ash,q
E2,5171601056196636.0,20696831377029.797,-2312062.152749384,-171210.3040304882,3462327.074542375
H_km_s_Mpc,20696831377029.797,92677639092.79135,-13032.805365357151,-1323.7099038270665,19462.8613690801
ash_source_E,-2312062.152749384,-13032.805365357151,0.004645518040171206,-6.464002051181569e-06,0.0022829716883760475
w_ash,-171210.3040304882,-1323.7099038270665,-6.464002051181569e-06,0.0004558957389153397,-0.003498782750051483
q,3462327.074542375,19462.8613690801,0.0022829716883760475,-0.003498782750051483,0.041477842075674766
