k_Mpc_inv,z,a,D,D_norm,f_growth,mu_eff,finite_kernel,T_proxy,P_proxy
0.001,0.0,1.0,0.7255544880918298,1.0,0.5287621380611128,1.0063253094987903,0.09036156426843311,0.7557099824171724,1.3790159071697641e-09
0.001,0.5,0.6666666666666666,0.5574607658723209,0.7683237786019537,0.7631552884817426,1.00669612188163,0.09036156426843311,0.7557099824171724,8.140626406103714e-10
0.001,1.0,0.5,0.43959132952389246,0.6058694925587114,0.8792413454935911,1.0069562368592568,0.09036156426843311,0.7557099824171724,5.062061833059598e-10
0.001,2.0,0.3333333333333333,0.30188561563579364,0.41607573323643404,0.9614258024278558,1.0072736967751879,0.09036156426843311,0.7557099824171724,2.3873387660555127e-10
0.0011689518164985776,0.0,1.0,0.7258017270230273,1.0,0.5287892474970557,1.0064261179632559,0.09180168518937105,0.714357739166694,1.2255648503474801e-09
0.0011689518164985776,0.5,0.6666666666666666,0.5576429228112519,0.7683130282680628,0.7631969554391059,1.0068028401006974,0.09180168518937105,0.714357739166694,7.234569479560877e-10
0.0011689518164985776,1.0,0.5,0.43972916263945616,0.6058530122862398,0.8792910217455219,1.0070671006132557,0.09180168518937105,0.714357739166694,4.498532265748053e-10
0.0011689518164985776,2.0,0.3333333333333333,0.301973739550599,0.4160554161109324,0.9614819918313768,1.0073896199885952,0.09180168518937105,0.714357739166694,2.12147860648744e-10
0.0013664483492953259,0.0,1.0,0.7207917552025062,1.0,0.5282380279764892,1.004377879054643,0.06254112935204188,0.6698061157619174,1.0706555533215691e-09
0.0013664483492953259,0.5,0.6666666666666666,0.5539512713335352,0.7685316422326485,0.7623497574782431,1.0046345260636702,0.06254112935204188,0.6698061157619174,6.323729436647986e-10
0.0013664483492953259,1.0,0.5,0.43693544833046677,0.6061881884424579,0.8782809792021643,1.0048145570823213,0.06254112935204188,0.6698061157619174,3.9342750051794636e-10
0.0013664483492953259,2.0,0.3333333333333333,0.3001872131442821,0.41646871093849375,0.9603395227305102,1.0050342777326562,0.06254112935204188,0.6698061157619174,1.85701123518251e-10
0.001597312280060254,0.0,1.0,0.7162148200838093,1.0,0.5277309606988352,1.0024965092704068,0.035664418148667096,0.6228244279759517,9.199416754946562e-10
0.001597312280060254,0.5,0.6666666666666666,0.5505778196584421,0.7687327938760261,0.7615704591773723,1.002642863618999,0.035664418148667096,0.6228244279759517,5.436396328372514e-10
0.001597312280060254,1.0,0.5,0.43438190143653155,0.6064966672788221,0.8773518974628371,1.0027455272836214,0.035664418148667096,0.6228244279759517,3.3838969684519845e-10
0.001597312280060254,2.0,0.3333333333333333,0.29855360596228475,0.416849243537503,0.9592886331285305,1.0028708241759328,0.035664418148667096,0.6228244279759517,1.5985209383272206e-10
0.0018671810912919207,0.0,1.0,0.7277443441912288,1.0,0.5290019195920741,1.0072172220847104,0.10310317263871913,0.5742614951493076,7.793855598544311e-10
0.0018671810912919207,0.5,0.6666666666666666,0.5590740893384715,0.7682286970705251,0.763523834311405,1.0076403215898375,0.10310317263871913,0.5742614951493076,4.599741307657953e-10
0.0018671810912919207,1.0,0.5,0.44081202568303623,0.6057237396642747,0.8796807347719949,1.0079371145865204,0.10310317263871913,0.5742614951493076,2.8595753520172406e-10
0.0018671810912919207,2.0,0.3333333333333333,0.3026660067690312,0.4158960618311585,0.9619228012767382,1.008299338556226,0.10310317263871913,0.5742614951493076,1.348099572865986e-10
0.0021826447283974874,0.0,1.0,0.7384215911643268,1.0,0.5301603987799302,1.0115348935149358,0.16478419307051081,0.524966152335675,6.489677275114019e-10
0.0021826447283974874,0.5,0.6666666666666666,0.5669375513859399,0.7677694668868029,0.7653045452361953,1.0122111104416953,0.16478419307051081,0.524966152335675,3.8254697666770743e-10
0.0021826447283974874,1.0,0.5,0.44675983271640707,0.605020002207636,0.8818037712278416,1.0126854585457903,0.16478419307051081,0.524966152335675,2.375541194745593e-10
0.0021826447283974874,2.0,0.3333333333333333,0.30646639657671987,0.41502902981681566,0.9643242069079521,1.013264381415292,0.16478419307051081,0.524966152335675,1.1178410413138256e-10
0.0025514065200312875,0.0,1.0,0.7460631041226435,1.0,0.5309788628516702,1.0145938152372354,0.20848307481764647,0.4757309421334072,5.307336057099819e-10
0.0025514065200312875,0.5,0.6666666666666666,0.5725625237587009,0.767445167298581,0.7665627360711194,1.0154493571524372,0.20848307481764647,0.4757309421334072,3.125872782337084e-10
0.0025514065200312875,1.0,0.5,0.45101250283553007,0.6045232639749857,0.8833038676317999,1.0160494969439604,0.20848307481764647,0.4757309421334072,1.9395573465993537e-10
0.0025514065200312875,2.0,0.3333333333333333,0.30918160771824754,0.41441750169623975,0.9660210054190096,1.0167819435316277,0.20848307481764647,0.4757309421334072,9.11491796407704e-11
0.002982471286216891,0.0,1.0,0.7520032790297199,1.0,0.5316091048674418,1.0169540772266854,0.24220110323836436,0.42726570786640755,4.261998968596326e-10
0.002982471286216891,0.5,0.6666666666666666,0.5769335535626134,0.7671955291298836,0.7675316493797112,1.0179479861850498,0.24220110323836436,0.42726570786640755,2.5085656253329153e-10
0.002982471286216891,1.0,0.5,0.45431602427537615,0.6041410149987141,0.8844590855716059,1.0186451867598747,0.24220110323836436,0.42726570786640755,1.5555715154593902e-10
0.002982471286216891,2.0,0.3333333333333333,0.31128964141194104,0.4139471862590623,0.9673277095048503,1.019496092147525,0.24220110323836436,0.42726570786640755,7.303032108429056e-11
0.0034863652276780842,0.0,1.0,0.7567277235048164,1.0,0.532106677577353,1.0188204453320682,0.26886350474383053,0.3801960527663789,3.358956098261212e-10
0.0034863652276780842,0.5,0.6666666666666666,0.5804090225382756,0.766998491676883,0.7682966434355257,1.0199237674985207,0.26886350474383053,0.3801960527663789,1.9760291522536358e-10
0.0034863652276780842,1.0,0.5,0.45694200524275036,0.6038393877343414,0.8853711846691741,1.020697718515054,0.26886350474383053,0.3801960527663789,1.2247493112164803e-10
0.0034863652276780842,2.0,0.3333333333333333,0.3129645994575707,0.41357623057347753,0.9683594181698486,1.0216422947439403,0.26886350474383053,0.3801960527663789,5.745336484599198e-11
0.004075392965871778,0.0,1.0,0.7578459462861222,1.0,0.5322239749978218,1.0192608014977296,0.2751543071104216,0.33507449601304296,2.595256476033977e-10
0.004075392965871778,0.5,0.6666666666666666,0.5812315011096661,0.7669520487086225,0.7684769879936008,1.0203899389257305,0.2751543071104216,0.33507449601304296,1.5265699429870893e-10
0.004075392965871778,1.0,0.5,0.45756336048562896,0.6037683024207633,0.8855862100467515,1.0211819986583988,0.2751543071104216,0.33507449601304296,9.460648377952201e-11
0.004075392965871778,2.0,0.3333333333333333,0.31336083172135454,0.41348882745497484,0.9686026417700271,1.0221486758503064,0.2751543071104216,0.33507449601304296,4.437188125457156e-11
0.004763938010401341,0.0,1.0,0.7553268249893506,1.0,0.5319594741007916,1.0182680214671296,0.26097173524470724,0.29239079953723046,1.96457563457446e-10
0.004763938010401341,0.5,0.6666666666666666,0.5793785616292233,0.7670567792126171,0.7680703213057516,1.019338958560609,0.26097173524470724,0.29239079953723046,1.1559093550081758e-10
0.004763938010401341,1.0,0.5,0.45616347780256133,0.6039286077374425,0.8851013408150744,1.0200901923138532,0.26097173524470724,0.29239079953723046,7.165392060726563e-11
0.004763938010401341,2.0,0.3333333333333333,0.3124680895562852,0.41368594258609936,0.9680541875351715,1.0210070430324296,0.26097173524470724,0.29239079953723046,3.362097318918894e-11
0.005568813990945267,0.0,1.0,0.736476808419426,1.0,0.529950692368405,1.0107522706149805,0.15360386592829361,0.25257167096936584,1.4532740116331742e-10
0.005568813990945267,0.5,0.6666666666666666,0.5655056161228278,0.7678525781911254,0.7649821883991093,1.0113826073737495,0.15360386592829361,0.25257167096936584,8.56846843002218e-11
0.005568813990945267,1.0,0.5,0.4456769788831941,0.6051473363291293,0.8814194405558434,1.0118247717660196,0.15360386592829361,0.25257167096936584,5.3219373692598855e-11
0.005568813990945267,2.0,0.3333333333333333,0.305774751357753,0.41518585223883014,0.9638894819506644,1.0123644157037832,0.15360386592829361,0.25257167096936584,2.50514345060958e-11
