q,initial_shell_power,evolved_shell_power,predicted_shell_power,relative_error
0.0,6.612155723375367e-39,4.330995465605231e-28,6.612155723375367e-39,0.0
1.0,3.19579232155932e-07,1.3007237118180352e-07,1.3007237118264447e-07,6.465207717056804e-12
2.0,2.519155262676677e-07,5.154646131350657e-08,5.154646131351373e-08,1.3890527496563337e-13
3.0,3.202840503714877e-07,4.116039402664456e-08,4.1160394026646e-08,3.5048327947458e-14
4.0,3.311229461020808e-07,3.3654715876437733e-08,3.36547158764393e-08,4.6600733375927454e-14
