tick,p,T_q0,power_T2_q0,T_q1,power_T2_q1,T_q2,power_T2_q2,T_q3,power_T2_q3,T_q4,power_T2_q4
0.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.1,1.0,1.0,0.9555555555555556,0.9130864197530865,0.9222222222222223,0.8504938271604939,0.9,0.81,0.888888888888889,0.7901234567901235
2.0,0.1,1.0,1.0,0.9130864197530865,0.8337268099375096,0.8504938271604939,0.7233397500381041,0.81,0.6561000000000001,0.7901234567901235,0.6242950769699742
3.0,0.1,1.0,1.0,0.8725048010973938,0.7612646279380028,0.7843443072702333,0.6151959923472221,0.7290000000000001,0.5314410000000002,0.702331961591221,0.49327018427257235
4.0,0.1,1.0,1.0,0.8337268099375097,0.6951003936085765,0.7233397500381041,0.5232203939851869,0.6561,0.43046721000000004,0.6242950769699742,0.389744343128946
5.0,0.1,1.0,1.0,0.7966722850513982,0.6346867297690163,0.6670799917018072,0.44499571532888316,0.5904900000000001,0.3486784401000001,0.5549289573066438,0.30794614765743894
6.0,0.1,1.0,1.0,0.7612646279380028,0.5795238337495857,0.6151959923472222,0.3784661090000835,0.531441,0.28242953648100005,0.4932701842725723,0.24331547469229745
7.0,0.1,1.0,1.0,0.7274306444740916,0.5291553425199922,0.5673474151646605,0.3218830894940216,0.4782969000000001,0.22876792454961006,0.4384623860200643,0.1922492639544079
8.0,0.1,1.0,1.0,0.6951003936085765,0.4831645571947979,0.5232203939851869,0.2737595806820142,0.4304672100000001,0.1853020188851842,0.38974434312894607,0.15190065300101366
9.0,0.1,1.0,1.0,0.6642070427815286,0.44117099568058343,0.48252547445300575,0.23283083349609832,0.3874204890000001,0.15009463529699918,0.34643941611461876,0.12002026903783797
10.0,0.1,1.0,1.0,0.6346867297690163,0.4028272449448883,0.4449957153288831,0.19802118666106436,0.3486784401000001,0.12157665459056935,0.30794614765743894,0.09483082985705718
11.0,0.1,1.0,1.0,0.6064784306681711,0.3678160868657276,0.41038493746997,0.16841579690223119,0.31381059609000006,0.09847709021836117,0.2737299090288346,0.07492806309693406
12.0,0.1,1.0,1.0,0.5795238337495857,0.3358478738838175,0.3784661090000835,0.14323659566166308,0.2824295364810001,0.07976644307687257,0.24331547469229745,0.05920242022473804
13.0,0.1,1.0,1.0,0.5537672189162709,0.3066581327462611,0.3490298560778548,0.12182184043372804,0.2541865828329001,0.06461081889226677,0.21628042194870886,0.046777220918311546
14.0,0.1,1.0,1.0,0.5291553425199922,0.2800053765174503,0.32188308949402167,0.10360872330221636,0.2287679245496101,0.05233476330273609,0.1922492639544079,0.0369597794910116
15.0,0.1,1.0,1.0,0.5056373272968815,0.25566910675593363,0.2968477380889311,0.08811857960851464,0.20589113209464907,0.04239115827521623,0.17088823462614036,0.0292027887336388
16.0,0.1,1.0,1.0,0.48316455719479784,0.23344798932924507,0.2737595806820142,0.07494430801519225,0.18530201888518416,0.03433683820292515,0.15190065300101366,0.02307380838213436
