tick,p,T_q0,power_T2_q0,T_q1,power_T2_q1,T_q2,power_T2_q2,T_q3,power_T2_q3,T_q4,power_T2_q4
0.0,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.01,1.0,1.0,0.9955555555555555,0.9911308641975308,0.9922222222222222,0.9845049382716049,0.99,0.9801,0.9888888888888889,0.9779012345679013
2.0,0.01,1.0,1.0,0.9911308641975308,0.9823403899649443,0.9845049382716049,0.9692499734811766,0.9801,0.96059601,0.9779012345679013,0.9562908245694256
3.0,0.01,1.0,1.0,0.9867258381344306,0.9736278796420945,0.9768476776406035,0.9542313853118405,0.970299,0.941480149401,0.9670356652949247,0.9351579779523976
4.0,0.01,1.0,1.0,0.9823403899649442,0.9649926417564787,0.9692499734811767,0.9394455110932617,0.96059601,0.92274469442792,0.9562908245694255,0.9144921411556717
5.0,0.01,1.0,1.0,0.9779744326762111,0.9564339909683569,0.9617113625763231,0.9248887449084079,0.9509900498999999,0.9043820750088043,0.9456653709630987,0.894282993838775
6.0,0.01,1.0,1.0,0.9736278796420946,0.9479512480163611,0.9542313853118406,0.9105575367141544,0.941480149401,0.8863848717161292,0.9351579779523975,0.8745204437280168
7.0,0.01,1.0,1.0,0.969300644621463,0.9395437396635837,0.9468095856483041,0.8964483914755133,0.9320653479069899,0.8687458127689781,0.9247673337529265,0.8551946215764966
8.0,0.01,1.0,1.0,0.9649926417564787,0.9312107986441477,0.9394455110932617,0.8825578683132796,0.9227446944279201,0.8514577710948755,0.9144921411556718,0.8362958762354852
9.0,0.01,1.0,1.0,0.9607037855708944,0.9229517636102471,0.9321387126736475,0.8688825796648847,0.9135172474836408,0.8345137614500875,0.9043311173650533,0.8178147698347259
10.0,0.01,1.0,1.0,0.956433990968357,0.9147659790796593,0.924888744908408,0.8554191904582502,0.9043820750088044,0.8179069375972308,0.894282993838775,0.7997420730692424
11.0,0.01,1.0,1.0,0.9521831732307199,0.9066527953837231,0.9176951657813426,0.8421644172984458,0.8953382542587164,0.8016305895390459,0.8843465161294553,0.7820687605903048
12.0,0.01,1.0,1.0,0.9479512480163611,0.8986115686157765,0.9105575367141543,0.8291150276669484,0.8863848717161292,0.7856781408072189,0.874520443728017,0.7647860064982477
13.0,0.01,1.0,1.0,0.9437381313585106,0.8906416605800533,0.9034754225397109,0.8162678391333091,0.8775210229989678,0.7700431458051551,0.8648035499088168,0.7478851799348913
14.0,0.01,1.0,1.0,0.9395437396635838,0.8827424387410322,0.8964483914755131,0.8036197185790349,0.8687458127689782,0.7547192872036326,0.8551946215764966,0.7313578407733673
15.0,0.01,1.0,1.0,0.9353679897095234,0.8749132761732351,0.8894760150973703,0.7911675814334973,0.8600583546412884,0.7397003733882803,0.8456924591145356,0.7151957354031905
16.0,0.01,1.0,1.0,0.9312107986441477,0.8671535515114713,0.8825578683132796,0.7789083909216803,0.8514577710948755,0.7249803359578535,0.8362958762354852,0.6993907926084779
17.0,0.01,1.0,1.0,0.927072083983507,0.8594626489015227,0.8756935293375097,0.7668391573235839,0.8429431933839268,0.7105532272722922,0.8270036998328687,0.6839351195372536
18.0,0.01,1.0,1.0,0.922951763610247,0.8518399579512652,0.8688825796648847,0.7549569372451047,0.8345137614500875,0.6964132180495736,0.8178147698347258,0.6688209977598255
19.0,0.01,1.0,1.0,0.9188497557719792,0.8442848736822259,0.8621246040452689,0.7432588329002117,0.8261686238355866,0.6825545950103871,0.8087279390587844,0.6540408794142688
20.0,0.01,1.0,1.0,0.9147659790796593,0.8367967964815677,0.8554191904582501,0.731741991404248,0.8179069375972308,0.6689717585696804,0.7997420730692424,0.6395873834370894
21.0,0.01,1.0,1.0,0.9107003525059719,0.8293751320545015,0.8487659300880193,0.7204036040781804,0.8097278682212584,0.6556592205741436,0.7908560500351397,0.6254532918771833
22.0,0.01,1.0,1.0,0.9066527953837231,0.8220192913771193,0.8421644172984458,0.7092409057636307,0.8016305895390459,0.6426116020847182,0.7820687605903048,0.6116315462912555
