tick,p,T_q0,power_T2_q0,T_q1,power_T2_q1,T_q2,power_T2_q2,T_q3,power_T2_q3,T_q4,power_T2_q4
0.0,0.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.05,1.0,1.0,0.9777777777777777,0.9560493827160493,0.961111111111111,0.9237345679012344,0.95,0.9025,0.9444444444444444,0.8919753086419753
2.0,0.05,1.0,1.0,0.9560493827160493,0.914030422191739,0.9237345679012344,0.8532855519356802,0.9025,0.81450625,0.8919753086419753,0.7956199512269471
3.0,0.05,1.0,1.0,0.9348038408779149,0.873858220920102,0.8878115569272974,0.7882093606136719,0.8573749999999999,0.7350918906249998,0.8424211248285322,0.7096733515573693
4.0,0.05,1.0,1.0,0.9140304221917389,0.8354516126920085,0.8532855519356802,0.7280962331421784,0.8145062499999999,0.6634204312890623,0.7956199512269471,0.6330111067903696
5.0,0.05,1.0,1.0,0.8937186350319225,0.7987329986033227,0.8201022249159593,0.6725676593121067,0.7737809374999998,0.5987369392383786,0.7514188428254499,0.5646302773531382
6.0,0.05,1.0,1.0,0.873858220920102,0.7636281902696458,0.7882093606136719,0.6212739961590135,0.7350918906249998,0.5403600876626367,0.7096733515573693,0.5036362659106696
7.0,0.05,1.0,1.0,0.8544391493440997,0.7300662599318687,0.7575567743675846,0.5738922663902195,0.6983372960937497,0.4876749791155295,0.6702470542486266,0.44923111372896146
8.0,0.05,1.0,1.0,0.8354516126920085,0.6979793971496778,0.7280962331421784,0.5301241247158295,0.6634204312890623,0.44012666865176536,0.6330111067903695,0.40070306131996863
9.0,0.05,1.0,1.0,0.8168860212988528,0.6673027717934698,0.6997813796310937,0.4896939792783968,0.6302494097246091,0.39721431845821814,0.5978438230797934,0.35741723679466336
10.0,0.05,1.0,1.0,0.7987329986033227,0.6379744030578555,0.6725676593121066,0.4523472563525659,0.5987369392383787,0.35848592240854193,0.5646302773531383,0.3188073501038819
11.0,0.05,1.0,1.0,0.7809833764121377,0.6099350342321027,0.646412250338858,0.4178487973881464,0.5688000922764597,0.323533544973709,0.5332619286112972,0.2843682845062402
12.0,0.05,1.0,1.0,0.7636281902696457,0.5831280129744942,0.6212739961590135,0.38598137830338985,0.5403600876626367,0.2919890243387724,0.5036362659106696,0.25364948834044265
13.0,0.05,1.0,1.0,0.7466586749303202,0.5574991768487016,0.5971133407528295,0.3565443417050047,0.5133420832795048,0.26352009446574204,0.4756564733600768,0.22624908064934549
14.0,0.05,1.0,1.0,0.7300662599318687,0.5329967438909069,0.5738922663902195,0.3293523334225027,0.48767497911552954,0.23782688525533216,0.44923111372896146,0.2018085935421631
15.0,0.05,1.0,1.0,0.713842565266716,0.5095712079865656,0.5515742338083776,0.30423413540129873,0.46329123015975304,0.21463876394293727,0.424273829632908,0.18000828251137385
