tick,p,T_q0,power_T2_q0,T_q1,power_T2_q1,T_q2,power_T2_q2,T_q3,power_T2_q3,T_q4,power_T2_q4
0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.5,1.0,1.0,0.7777777777777778,0.6049382716049383,0.6111111111111112,0.37345679012345684,0.5,0.25,0.4444444444444444,0.19753086419753085
2.0,0.5,1.0,1.0,0.6049382716049383,0.3659503124523701,0.37345679012345684,0.1394699740893157,0.25,0.0625,0.19753086419753085,0.039018442310623375
3.0,0.5,1.0,1.0,0.4705075445816187,0.2213773495082239,0.22822359396433475,0.05208600884199754,0.125,0.015625,0.08779149519890259,0.007707346629258936
4.0,0.5,1.0,1.0,0.3659503124523701,0.13391963118398728,0.1394699740893157,0.01945187367247439,0.0625,0.00390625,0.039018442310623375,0.0015224388403474443
5.0,0.5,1.0,1.0,0.28462802079628785,0.08101311022241207,0.0852316508323596,0.0072644343036092655,0.03125,0.0009765625,0.01734152991583261,0.00030072865982171734
6.0,0.5,1.0,1.0,0.22137734950822388,0.049007930875286314,0.05208600884199754,0.0027129523170886455,0.015625,0.000244140625,0.007707346629258937,5.94031920635491e-05
7.0,0.5,1.0,1.0,0.17218238295084082,0.02964677299863,0.03183033873677628,0.0010131704640979206,0.0078125,6.103515625e-05,0.0034254873907817495,1.1733963864404758e-05
8.0,0.5,1.0,1.0,0.13391963118398728,0.017934467616455178,0.019451873672474394,0.00037837538936990244,0.00390625,1.52587890625e-05,0.001522438840347444,2.3178200225984703e-06
9.0,0.5,1.0,1.0,0.10415971314310123,0.010849245842053134,0.011887256133178797,0.0001413068583757969,0.001953125,3.814697265625e-06,0.000676639484598864,4.5784099211821634e-07
10.0,0.5,1.0,1.0,0.08101311022241207,0.0065631240279086876,0.007264434303609265,5.277200575145502e-05,0.0009765625,9.5367431640625e-07,0.00030072865982171734,9.043772683816618e-08
11.0,0.5,1.0,1.0,0.06301019683965384,0.003970284905771922,0.004439376518872329,1.9708063876314996e-05,0.00048828125,2.384185791015625e-07,0.00013365718214298548,1.7864242338403196e-08
12.0,0.5,1.0,1.0,0.049007930875286314,0.0024017772886768415,0.0027129523170886455,7.3601102747966504e-06,0.000244140625,5.960464477539063e-08,5.940319206354909e-05,3.528739227338902e-09
13.0,0.5,1.0,1.0,0.03811727956966714,0.0014529270017921638,0.001657915304887506,2.748683158180232e-06,0.0001220703125,1.4901161193847656e-08,2.640141869491071e-05,6.970349091039807e-10
14.0,0.5,1.0,1.0,0.029646772998629993,0.0008789311492322964,0.0010131704640979203,1.0265143893203953e-06,6.103515625e-05,3.725290298461914e-09,1.1733963864404758e-05,1.3768590797115663e-10
